CPU_Load,Power_Supply,Network_Traffic,Disk_Usage,Malware_Detected,Server_Crash,,,,
High,Stable,Medium,High,FALSE,TRUE,,,,
Medium,Stable,Low,Normal,FALSE,FALSE,,CPU_ Load (High) & Power_Supply (Fluctuating),4,
Low,Stable,Low,Normal,FALSE,FALSE,,CPU_ Load (High) & Power_Supply (Fluctuating) & Server_Crash,4,
High,Fluctuating,High,High,FALSE,TRUE,,,,
Medium,Stable,Medium,Normal,FALSE,FALSE,,P(Server_Crash = TRUE | CPU_Load = High AND Power_Supply = Fluctuating) ,1,
High,Stable,High,Critical,TRUE,TRUE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
Medium,Fluctuating,Medium,High,FALSE,TRUE,,Server_Crash = TRUE,21,
High,Stable,Medium,High,FALSE,FALSE,,Malware_Detected = TRUE,7,
High,Stable,High,Critical,FALSE,TRUE,,Malware_Detected = FALSE (for completeness),14,
Medium,Stable,Low,Normal,FALSE,FALSE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,Malware = True,0.33,33.33
Medium,Stable,Medium,High,FALSE,FALSE,,Malware= False,0.67,66.67
High,Fluctuating,High,High,TRUE,TRUE,,"If a Server_Crash occurred, the most likely state of Malware_Detected is FALSE, with a probability of approximately 66.6%",,
Medium,Stable,Medium,Normal,FALSE,FALSE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
High,Stable,High,High,FALSE,TRUE,,,,
Medium,Stable,Medium,High,FALSE,FALSE,,Disk_Usage = Critical,7,
High,Failed,Low,Critical,FALSE,TRUE,,Disk_Usage = Critical / Total,0.14,14
Low,Stable,Low,Normal,FALSE,FALSE,,Uncoditional Probability = 14%,,
Medium,Stable,Medium,Normal,FALSE,FALSE,,Network_Traffic = High,12,
High,Stable,Medium,High,TRUE,TRUE,,Network_Traffic = High AND Disk_Usage = Critical,5,
Medium,Fluctuating,High,High,FALSE,TRUE,,Given Network_Traffic=High,0.417,41.67
Low,Stable,Low,Normal,FALSE,FALSE,,,,
High,Stable,High,Critical,FALSE,TRUE,,Network_Traffic = High increases the likelihood of Disk_Usage being Critical from 14% to 41.67%.,,
Medium,Stable,Medium,Normal,FALSE,FALSE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
Medium,Stable,Low,Normal,FALSE,FALSE,,Proving that Variables are Independent ,,
High,Stable,Medium,High,FALSE,TRUE,,,,
Medium,Stable,Medium,Normal,FALSE,FALSE,,,,
High,Fluctuating,High,Critical,TRUE,TRUE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
Medium,Stable,Medium,High,FALSE,FALSE,,,,
High,Stable,High,High,FALSE,TRUE,,,,
Medium,Stable,Low,Normal,FALSE,FALSE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
High,Stable,Medium,Critical,TRUE,TRUE,,,,
Medium,Fluctuating,Medium,High,FALSE,TRUE,,,,
High,Stable,High,High,FALSE,TRUE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
Medium,Stable,Medium,Normal,FALSE,FALSE,,,,
High,Stable,Medium,High,FALSE,FALSE,,,,
Medium,Stable,Low,Normal,FALSE,FALSE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
High,Fluctuating,High,Critical,TRUE,TRUE,,,,
Medium,Stable,Medium,High,FALSE,FALSE,,,,
High,Stable,High,High,FALSE,TRUE,,,,
Low,Stable,Low,Normal,FALSE,FALSE,,,,
Medium,Failed,Low,High,FALSE,TRUE,,,,
High,Stable,Medium,High,TRUE,TRUE,,,,
